 ,,,,,,,,,
2026-05-25,Polkard,602-605-10,ŚRUBA 3-KIERUNKOWA BERTONI A,3,-,Kordian,ZAMÓWIONE,FALSE,4996507a-09fc-488b-8bd8-61c84d06581e
2026-05-07,Polkard,602-605-10,ŚRUBA 3-KIERUNKOWA BERTONI A,1,-,Ola G.,ZAMÓWIONE,FALSE,1506cd6e-4c51-4f37-b82a-a51361f50d6a
2026-05-28,Rayshape,RSRSD00030,"RAYSHAPE żywica Model Pro Orange 2,5kg",2,-,Kordian,ZAMÓWIONE,FALSE,8676e66f-ef5a-4a0b-9c04-a24c109766ce
2026-05-27,Renfert - EXCEL,29370000,Renfert-Wyciąg Silent EC2 220-240V Pro,2,-,Damian,ZAMÓWIONE,FALSE,ded52e97-6ffd-4a96-baa8-7bc842c6fe3a
2026-05-20,Renfert - EXCEL,18032000,Renfert-Tarcza do MTplus/częściowo diam.MARATHON ~Tumba,1,-,Kasia J.,ZAMÓWIONE,FALSE,d838a297-7747-4f27-ad74-f8bcf3df9bb7
2026-05-20,Renfert - EXCEL,900036329,Renfert-Kratka do piaskarki Basic clasic ~Tumba,1,-,Kasia J.,ZAMÓWIONE,FALSE,9b6d9550-aed8-4049-983f-642585777b3a
2026-05-27,Renfert - EXCEL,900033524,Hardware kit packed in zip-lock bag,1,-,Kasia J.,ZAMÓWIONE,FALSE,7b1d439c-80a5-46a9-a84f-83c679b752ab
2026-05-28,Renfert - EXCEL,900036286,Renfert-Door complete MT3 ~Karbowiak Hubert,1,-,Krystian,ZAMÓWIONE,FALSE,75f3728c-b663-4bcc-a96b-6e5c537fc5c8
2026-05-27,Renfert - EXCEL,900021448,Renfert-Szyba do Basic Classic 2947 powlekana  ~Marcin Olejniczak,1,-,Krystian,ZAMÓWIONE,FALSE,18efe10d-8c10-4665-ae90-fc08570cde97
2026-05-27,Renfert - EXCEL,929470003,Renfert-Osłona zawiasu Basic Clasic 2szt. ~Marcin Olejniczak,1,-,Krystian,ZAMÓWIONE,FALSE,1264f128-4e48-4afd-8372-8985c615f654
2026-05-27,TECHIM,SIL000363,ECOsil Putty 90 Shore A 5+5kg premium,-,-,Kordian,ZAMÓWIONE,FALSE,245b37b0-b3f9-46f6-a377-ea2196a306a3
